Accession,year,conforms
GSE100000,2018,0
GSE100001,2018,0
GSE100007,2017,1
GSE100009,2018,1
GSE100010,2018,0
GSE100016,2017,1
GSE100021,2017,1
GSE100024,2018,0
GSE100027,2017,1
GSE100029,2019,1
GSE100033,2018,0
GSE100034,2019,1
GSE100035,2017,1
GSE100037,2018,1
GSE100039,2018,1
GSE100040,2017,0
GSE100042,2018,0
GSE100045,2017,1
GSE100048,2017,0
GSE100056,2017,1
GSE100057,2017,0
GSE100058,2017,1
GSE100060,2019,1
GSE100061,2018,0
GSE100062,2018,1
GSE100063,2018,1
GSE100066,2019,0
GSE100067,2017,1
GSE100069,2017,1
GSE100070,2017,0
GSE100071,2018,1
GSE100073,2018,0
GSE100075,2018,1
GSE100076,2018,0
GSE100077,2017,1
GSE100081,2017,0
GSE100082,2018,1
GSE100088,2017,1
GSE100089,2017,0
GSE100091,2017,0
GSE100092,2018,1
GSE100097,2018,0
GSE100098,2017,0
GSE100099,2017,1
GSE100100,2018,1
GSE100101,2018,0
GSE100102,2017,1
GSE100106,2017,0
GSE100110,2018,0
GSE100112,2018,0
GSE100116,2018,0
GSE100118,2017,1
GSE100120,2017,0
GSE100121,2017,1
GSE100122,2019,1
GSE100127,2018,1
GSE100132,2018,0
GSE100134,2018,0
GSE100144,2018,0
GSE100146,2019,1
GSE100147,2018,0
GSE100148,2019,1
GSE100149,2017,1
GSE100172,2017,0
GSE100175,2017,1
GSE100180,2018,1
GSE100183,2017,1
GSE100187,2017,1
GSE100188,2018,1
GSE100203,2017,1
GSE100206,2017,1
GSE100207,2018,1
GSE100209,2017,0
GSE100210,2017,1
GSE100212,2017,1
GSE100213,2017,1
GSE100214,2017,0
GSE100215,2018,1
GSE100216,2018,1
GSE100217,2017,0
GSE100222,2017,0
GSE100223,2017,1
GSE100225,2017,1
GSE100232,2018,1
GSE100236,2018,1
GSE100243,2019,0
GSE100244,2018,1
GSE100245,2017,1
GSE100250,2017,0
GSE100258,2017,0
GSE100259,2017,0
GSE100261,2018,0
GSE100265,2017,0
GSE100266,2017,1
GSE100267,2017,0
GSE100268,2017,1
GSE100269,2018,1
GSE100274,2018,1
GSE100276,2017,1
GSE100277,2017,1
GSE100278,2017,0
GSE100285,2019,1
GSE100287,2019,1
GSE100290,2017,1
GSE100291,2017,1
GSE100292,2018,0
GSE100293,2019,0
GSE100294,2017,1
GSE100296,2017,1
GSE100297,2017,1
GSE100298,2018,0
GSE100305,2018,0
GSE100312,2017,0
GSE100319,2017,0
GSE100320,2018,0
GSE100322,2019,0
GSE100327,2017,1
GSE100328,2018,0
GSE100329,2017,1
GSE100330,2017,0
GSE100332,2017,1
GSE100333,2017,1
GSE100337,2017,1
GSE100338,2017,1
GSE100339,2017,1
GSE100347,2018,0
GSE100349,2018,0
GSE100351,2018,0
GSE100353,2017,0
GSE100355,2018,0
GSE100356,2017,0
GSE100358,2019,1
GSE100359,2017,0
GSE100363,2019,1
GSE100367,2018,1
GSE100371,2018,0
GSE100372,2017,1
GSE100373,2018,0
GSE100382,2017,1
GSE100384,2018,1
GSE100385,2017,0
GSE100387,2017,0
GSE100389,2017,1
GSE100392,2017,1
GSE100394,2018,0
GSE100396,2019,1
GSE100397,2017,0
GSE100399,2018,0
GSE100400,2018,0
GSE100402,2018,1
GSE100403,2018,0
GSE100406,2017,1
GSE100407,2017,0
GSE100408,2017,1
GSE100411,2017,1
GSE100412,2019,1
GSE100414,2018,1
GSE100416,2018,1
GSE100417,2017,1
GSE100419,2019,0
GSE100420,2019,0
GSE100421,2018,1
GSE100423,2017,1
GSE100425,2017,1
GSE100426,2017,1
GSE100427,2017,0
GSE100428,2017,0
GSE100429,2019,1
GSE100441,2018,0
GSE100446,2019,0
GSE100449,2018,1
GSE100450,2017,0
GSE100451,2018,0
GSE100454,2018,1
GSE100457,2017,1
GSE100460,2018,0
GSE100464,2017,1
GSE100465,2017,0
GSE100469,2018,1
GSE100471,2018,1
GSE100472,2018,1
GSE100473,2017,1
GSE100474,2018,0
GSE100482,2018,0
GSE100483,2018,0
GSE100484,2018,0
GSE100491,2019,0
GSE100495,2019,1
GSE100501,2017,0
GSE100505,2018,0
GSE100512,2017,1
GSE100516,2017,0
GSE100517,2017,0
GSE100520,2017,1
GSE100522,2018,1
GSE100526,2018,1
GSE100528,2018,0
GSE100530,2017,0
GSE100532,2017,1
GSE100535,2018,1
GSE100537,2018,0
GSE100539,2018,1
GSE100542,2018,0
GSE100545,2017,1
GSE100546,2018,1
GSE100547,2017,1
GSE100548,2017,0
GSE100552,2018,1
GSE100554,2018,1
GSE100560,2018,1
GSE100562,2017,1
GSE100563,2017,0
GSE100565,2018,0
GSE100568,2017,1
GSE100570,2017,1
GSE100572,2018,1
GSE100573,2018,0
GSE100574,2017,1
GSE100576,2018,1
GSE100578,2018,1
GSE100579,2017,1
GSE100581,2018,1
GSE100582,2017,1
GSE100584,2018,1
GSE100586,2018,1
GSE100587,2018,1
GSE100588,2017,1
GSE100595,2017,0
GSE100597,2017,1
GSE100599,2017,0
GSE100601,2018,1
GSE100602,2018,1
GSE100606,2017,1
GSE100607,2017,0
GSE100608,2017,1
GSE100609,2017,1
GSE100618,2017,1
GSE100619,2018,0
GSE100620,2018,1
GSE100622,2018,0
GSE100623,2018,1
GSE100624,2017,1
GSE100626,2017,1
GSE100631,2017,1
GSE100632,2017,1
GSE100633,2017,0
GSE100634,2017,0
GSE100635,2019,1
GSE100650,2017,1
GSE100652,2017,1
GSE100657,2018,0
GSE100659,2017,1
GSE100660,2017,1
GSE100664,2019,0
GSE100667,2018,0
GSE100669,2017,1
GSE100670,2018,0
GSE100673,2017,1
GSE100674,2017,1
GSE100676,2018,1
GSE100679,2018,1
GSE100684,2018,1
GSE100685,2018,0
GSE100686,2017,1
GSE100687,2018,1
GSE100688,2017,0
GSE100690,2017,0
GSE100694,2018,1
GSE100695,2018,0
GSE100706,2018,0
GSE100708,2018,1
GSE100709,2017,1
GSE100713,2018,1
GSE100715,2018,0
GSE100722,2019,1
GSE100723,2017,1
GSE100725,2019,0
GSE100726,2017,0
GSE100727,2017,1
GSE100732,2017,1
GSE100733,2017,0
GSE100734,2017,0
GSE100737,2018,0
GSE100743,2018,0
GSE100745,2017,1
GSE100751,2017,1
GSE100760,2017,0
GSE100764,2018,1
GSE100765,2017,1
GSE100771,2017,1
GSE100785,2019,1
GSE100791,2017,1
GSE100794,2017,0
GSE100796,2018,1
GSE100797,2017,1
GSE100798,2018,0
GSE100799,2019,0
GSE100805,2018,0
GSE100806,2018,0
GSE100807,2017,1
GSE100809,2017,0
GSE100810,2018,1
GSE100811,2018,0
GSE100813,2018,0
GSE100816,2017,1
GSE100820,2017,1
GSE100821,2017,1
GSE100822,2018,1
GSE100823,2017,1
GSE100827,2017,1
GSE100828,2018,0
GSE100829,2018,1
GSE100834,2019,1
GSE100835,2018,1
GSE100839,2017,1
GSE100855,2017,0
GSE100858,2017,1
GSE100859,2018,1
GSE100860,2018,0
GSE100861,2018,1
GSE100862,2017,0
GSE100863,2017,1
GSE100864,2017,0
GSE100866,2017,1
GSE100873,2017,0
GSE100874,2018,1
GSE100876,2018,0
GSE100878,2017,1
GSE100881,2018,0
GSE100882,2018,1
GSE100883,2018,0
GSE100885,2018,0
GSE100886,2018,1
GSE100887,2018,1
GSE100888,2017,1
GSE100889,2017,0
GSE100890,2018,1
GSE100891,2017,1
GSE100892,2018,1
GSE100893,2018,0
GSE100895,2018,1
GSE100896,2018,0
GSE100898,2018,0
GSE100904,2018,0
GSE100905,2019,1
GSE100906,2019,1
GSE100907,2019,0
GSE100908,2018,1
GSE100910,2017,1
GSE100911,2017,1
GSE100912,2017,1
GSE100913,2017,0
GSE100914,2017,1
GSE100918,2018,0
GSE100923,2019,0
GSE100925,2017,0
GSE100929,2017,1
GSE100931,2019,1
GSE100933,2019,0
GSE100934,2017,0
GSE100937,2018,0
GSE100938,2018,0
GSE100939,2018,0
GSE100941,2017,1
GSE100943,2017,1
GSE100944,2017,1
GSE100954,2018,1
GSE100957,2018,0
GSE100958,2017,1
GSE100960,2017,0
GSE100961,2017,0
GSE100963,2017,0
GSE100964,2017,1
GSE100966,2018,0
GSE100967,2018,0
GSE100969,2017,1
GSE100970,2017,1
GSE100974,2017,0
GSE100975,2017,0
GSE100981,2017,1
GSE100982,2017,1
GSE100983,2017,1
GSE100985,2018,0
GSE100990,2018,1
GSE101016,2017,0
GSE101018,2017,0
GSE101021,2017,0
GSE101035,2017,0
GSE101050,2018,0
GSE101052,2017,0
GSE101055,2017,0
GSE101059,2018,0
GSE101060,2017,1
GSE101061,2018,1
GSE101072,2018,1
GSE101074,2018,0
GSE101075,2017,1
GSE101076,2019,1
GSE101078,2017,1
GSE101084,2018,1
GSE101086,2018,1
GSE101091,2017,1
GSE101092,2017,1
GSE101097,2018,1
GSE101099,2018,0
GSE101104,2018,1
GSE101108,2018,1
GSE101109,2018,0
GSE101112,2019,1
GSE101115,2017,1
GSE101116,2017,0
GSE101117,2018,1
GSE101118,2018,1
GSE101125,2018,1
GSE101132,2019,1
GSE101133,2017,1
GSE101134,2017,1
GSE101137,2017,0
GSE101142,2017,1
GSE101144,2018,1
GSE101153,2018,0
GSE101157,2017,1
GSE101167,2017,1
GSE101168,2017,1
GSE101169,2017,1
GSE101173,2017,0
GSE101180,2017,0
GSE101181,2019,0
GSE101182,2018,0
GSE10119,2008,1
GSE101195,2017,0
GSE101198,2018,0
GSE101199,2018,1
GSE101200,2018,1
GSE101204,2018,1
GSE101207,2018,0
GSE101209,2017,0
GSE101219,2017,0
GSE101221,2017,0
GSE101232,2017,1
GSE101234,2017,1
GSE101239,2018,0
GSE101287,2018,1
GSE101290,2018,1
GSE101292,2019,0
GSE101297,2017,0
GSE101300,2018,0
GSE101301,2019,1
GSE101303,2018,1
GSE101304,2018,1
GSE101310,2018,0
GSE101312,2017,1
GSE101316,2018,0
GSE101317,2017,1
GSE101321,2017,1
GSE101328,2018,0
GSE101329,2017,0
GSE101330,2018,0
GSE101334,2017,1
GSE101336,2018,0
GSE101340,2017,0
GSE101341,2018,1
GSE101342,2018,1
GSE101343,2017,1
GSE101368,2018,0
GSE101381,2018,1
GSE101383,2018,0
GSE101390,2018,1
GSE101391,2017,1
GSE101394,2018,0
GSE101395,2018,1
GSE101396,2017,1
GSE101398,2018,1
GSE101403,2017,1
GSE101404,2017,1
GSE101412,2017,1
GSE101413,2018,1
GSE101415,2018,0
GSE101419,2017,0
GSE101421,2018,0
GSE101422,2017,1
GSE101423,2018,1
GSE101424,2018,1
GSE101430,2017,1
GSE101433,2017,0
GSE101435,2018,0
GSE101437,2018,0
GSE101451,2017,0
GSE101452,2018,1
GSE101455,2018,1
GSE101458,2018,0
GSE101459,2018,0
GSE101463,2018,1
GSE101465,2018,0
GSE101467,2017,1
GSE101468,2018,0
GSE101470,2017,0
GSE101480,2018,1
GSE101483,2018,0
GSE101484,2019,1
GSE101485,2018,0
GSE101487,2017,1
GSE101488,2017,1
GSE101494,2019,1
GSE101496,2019,1
GSE101497,2017,0
GSE101500,2019,1
GSE101503,2018,0
GSE101504,2018,0
GSE101510,2018,1
GSE101511,2019,0
GSE101518,2017,1
GSE101519,2017,0
GSE101520,2017,0
GSE101521,2017,1
GSE101523,2017,1
GSE101524,2017,0
GSE101525,2018,0
GSE101526,2017,1
GSE101527,2017,1
GSE101528,2017,0
GSE101531,2018,0
GSE101537,2017,1
GSE101539,2018,0
GSE101540,2018,1
GSE101541,2018,1
GSE101543,2017,0
GSE101544,2017,1
GSE101545,2018,0
GSE101546,2019,1
GSE101547,2017,1
GSE101549,2017,1
GSE101550,2018,0
GSE101552,2017,1
GSE101555,2017,1
GSE101557,2017,0
GSE101558,2019,1
GSE101565,2017,1
GSE101567,2018,1
GSE101568,2018,0
GSE101571,2018,1
GSE101572,2018,0
GSE101575,2017,1
GSE101576,2017,1
GSE101577,2018,1
GSE101580,2017,1
GSE101582,2018,0
GSE101583,2018,1
GSE101585,2019,1
GSE101588,2019,1
GSE101590,2017,0
GSE101591,2017,0
GSE101594,2018,1
GSE101595,2018,1
GSE101596,2017,1
GSE101598,2017,0
GSE101599,2018,0
GSE101600,2018,0
GSE101601,2017,1
GSE101603,2017,1
GSE101604,2017,0
GSE101605,2017,1
GSE101608,2018,1
GSE101610,2018,1
GSE101617,2018,1
GSE101622,2018,1
GSE101623,2017,1
GSE101624,2017,1
GSE101625,2017,0
GSE101628,2017,1
GSE101629,2017,1
GSE101630,2017,0
GSE101631,2017,0
GSE101632,2017,0
GSE101633,2017,0
GSE101638,2017,1
GSE101642,2017,0
GSE101643,2017,1
GSE101645,2017,1
GSE101646,2017,0
GSE101647,2017,1
GSE101650,2017,0
GSE101651,2019,0
GSE101655,2017,1
GSE101657,2017,1
GSE101659,2018,1
GSE101661,2017,1
GSE101662,2017,1
GSE101664,2017,1
GSE101665,2018,1
GSE101666,2019,0
GSE101668,2017,1
GSE101669,2017,1
GSE101675,2018,0
GSE101678,2017,0
GSE101682,2018,1
GSE101683,2018,0
GSE101689,2017,0
GSE101690,2017,0
GSE101691,2017,0
GSE101692,2018,1
GSE101693,2017,1
GSE101696,2017,0
GSE101697,2017,1
GSE101699,2018,1
GSE101700,2018,0
GSE101701,2017,1
GSE101705,2018,1
GSE101707,2019,1
GSE101708,2017,1
GSE101711,2019,0
GSE101712,2017,1
GSE101719,2018,1
GSE101722,2017,1
GSE101726,2018,1
GSE101730,2018,1
GSE101732,2017,1
GSE101734,2017,0
GSE101735,2017,0
GSE101738,2017,1
GSE101743,2018,0
GSE101744,2018,1
GSE101745,2018,1
GSE101746,2017,1
GSE101748,2017,1
GSE101750,2018,0
GSE101753,2017,1
GSE101754,2017,1
GSE101755,2017,1
GSE101756,2017,1
GSE101758,2018,0
GSE101760,2017,0
GSE101762,2018,1
GSE101763,2018,0
GSE101766,2018,0
GSE101767,2017,1
GSE101769,2018,1
GSE101770,2017,1
GSE101772,2017,1
GSE101774,2018,1
GSE101776,2018,0
GSE101777,2018,0
GSE101778,2017,1
GSE101782,2017,1
GSE101788,2018,1
GSE101791,2018,0
GSE101794,2018,0
GSE101797,2017,1
GSE101798,2017,1
GSE101799,2019,1
GSE101801,2018,1
GSE101802,2018,0
GSE101806,2017,0
GSE101808,2018,1
GSE101810,2017,1
