Accession,library_strategy,library_source,library_selection,library_layout,platform,model,tax_id,reads
GSE100001,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10114,25308325.833333332
GSE100016,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,illumina,illumina hiseq 2000,9974,17349078.333333332
GSE100021,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,10116,33571837.25
GSE100024,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,1520,15458075.533333333
GSE100027,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,41358257
GSE100029,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,7955,36140313.52380952
GSE100034,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,4932,4955555.714285715
GSE100035,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,27991089.85714286
GSE100042,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,bgiseq,bgiseq-500,307972,23836738
GSE100045,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,6239,35389847
GSE100056,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,10088,45205724.5
GSE100058,OTHER,TRANSCRIPTOMIC,other,PAIRED,illumina,illumina nextseq 550,7227,1288885.35
GSE100061,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10090,51195729.55555555
GSE100062,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina miseq,7955,3068910.375
GSE100063,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,12892930.333333334
GSE100066,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,9140297.333333334
GSE100067,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,14805665.263157895
GSE100069,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina miseq,376619,10599767.8
GSE100070,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,10090,36422760.979166664
GSE100071,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,22144642
GSE100077,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,51433675
GSE100081,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,58925061.5
GSE100088,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10090,17013053.666666668
GSE100091,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,1352,4942341.75
GSE100092,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,54064762
GSE100097,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,83332,27578646.416666668
GSE100098,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,40993011
GSE100100,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,49432965.916666664
GSE100101,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,746128,21084297.5
GSE100102,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,12778593.916666666
GSE100106,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,83251714.5
GSE100110,NA,NA,NA,NA,NA,NA,NA,NA
GSE100112,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,9606,18938327.333333332
GSE100116,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,10090,9766376.333333334
GSE100118,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,13002753.902173912
GSE100121,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,4577,36849795.071428575
GSE100122,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10116,35791835.625
GSE100127,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,15182804.435897436
GSE100132,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,76745312.58333333
GSE100144,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,71262798
GSE100146,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,10495428.5
GSE100172,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,38705,25926608.833333332
GSE100175,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,26743650.5
GSE100180,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina genome analyzer,934700,19873487.5
GSE100183,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,52543427.13333333
GSE100187,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,3702,6725073.666666667
GSE100188,ncRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,illumina,illumina nextseq 500,9606,1574591.0454545454
GSE100203,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10116,22856749.9375
GSE100206,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,23260456.21875
GSE100207,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,16473780.42857143
GSE100209,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,41358257
GSE100212,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,14946604.113636363
GSE100213,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,47428,34632868.166666664
GSE100214,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,7227,27514190
GSE100215,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,43964606.72727273
GSE100216,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,26184685.375
GSE100217,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,5877469.75
GSE100222,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,43851485.583333336
GSE100223,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,26915971.62162162
GSE100225,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,7309608.777777778
